Dez/2005,0.36,5.6897,5.6897,653.4019
Nov/2005,0.55,5.3106,6.2163,651.0581
Out/2005,0.75,4.7346,6.3642,647.4968
Set/2005,0.35,3.9549,6.0369,642.6768
Ago/2005,0.17,3.5923,6.0158,640.4352
Jul/2005,0.25,3.4165,6.5661,639.3483
Jun/2005,- 0.02,3.1586,7.2677,637754
Mai/2005,0.49,3.1793,8.0509,637.8815
Abri/2005,0.87,2.6762,8.0724,634.7712
Mar/2005,0.61,1.7906,7.5367,629.2963
Fev/2005,0.59,1.1734,7.3871,625.4808
Jan/2005,0.58,0.58,7.4084,621.8122
Dez/2004,0.86,7.6006,7.6006,618.2264
Nov/2004,0.69,6.6832,7.2379,612955
Out/2004,0.44,5.9521,6.8652,608.7546
Set/2004,0.33,5488,6.7056,606.0878
Ago/2004,0.69,5141,7.1842,604.0943
Jul/2004,0.91,4.4205,6.8116,599.9546
Jun/2004,0.71,3.4788,6.0601,594.5443
Mai/2004,0.51,2.7493,5.1544,590.3528
Abri/2004,0.37,2.2279,5259,587.3573
Mar/2004,0.47,1.8511,5.8882,585192
Fev/2004,0.61,1.3746,6.6892,582.4545
Jan/2004,0.76,0.76,7.7072,578.9231
